Carimbo de data/hora,Pontuação,Qual a sua idade?,Qual o seu género? 2,Qual a sua maior qualificação académica?,Selecione o continente onde reside?,Como define o seu conhecimento sobre as energias renováveis?,Qual o grau de importância das energias renováveis nas fontes de energia?,Como define o beneficio das energias renováveis para o meio ambiente?,"Quão provável é que a indústria adote fontes de energia limpa em grande escala, reduzindo as emissões de carbono?  ",Acredita que a ampla adoção de energias renováveis em edifícios residenciais e comerciais seja viável?,Utiliza energia solar na sua residência?,Considera investir em energia solar para a sua residência?,Quais são os principais obstáculos que o impedem de adotar fontes de energia renovável?,"Em termos de custos, qual seria o intervalo de valores que considera ser um valor acessível para o investimento em energias ?","Acredita-se que tecnologias avançadas de armazenamento de energia, por exemplo:  bombeamento hidrelétrico,  ar comprimido,  supercondensador, armazenamento térmicos, baterías e volantes de inercía, desempenharão um papel fundamental na expansão das energias renováveis. Quão provável é que essas tecnologias se tornem amplamente disponíveis? ",Considera que os veículos elétricos superem os veículos movidos a combustíveis fósseis em popularidade nas próximas décadas? ,Quão provável é que a energia solar e eólica se tornem as principais fontes de eletricidade em todo o mundo? ,"Os governos deveriam oferecer incentivos financeiros significativos para encorajar a adoção de fontes de energia renovável, como solar e eólica.","
Tem conhecimento das políticas de incentivo do governo para a energia renovável na sua região?",Já  beneficiou de incentivos fiscais ou financeiros para a instalação de sistemas de energia renovável?,Como classifique o impacto ambiental que as energias renováveis têm em comparação com as fontes de energia não renovável?,"
Acredita que a transição para energias renováveis é fundamental para combater as mudanças climáticas?",Qual é o seu consumo médio de eletricidade por mês?,Qual a percentagem da sua energia atual que provém de fontes renováveis?,Faz uso de lâmpadas de LED na sua casa?,Faz uso de sistemas de aquecimento de água solar na sua residência?,Consideraria fazer uso de energia renovável residencial e comprar veículo elétrico para seu uso?,Estaria disposto a pagar um pouco mais por eletricidade gerada a partir de fontes renováveis?,"
Costuma pesquisar informações sobre energias renováveis?",Necessita de mais informação sobre o assunto?,Com que frequência desliga os aparelhos eletrónicos quando não os utiliza?,Com que frequência participa de programas de conscientização sobre energias renováveis na sua comunidade?,"Utiliza medidas para reduzir o consumo de energia na sua casa, como isolamento adequado e vedação de janelas?","Com que frequência utiliza transportes públicos, bicicletas ou carros elétricos em vez de carros movidos a combustíveis fósseis?","Em pleno 2023, acha importante a população ter mais conhecimento sobre Energia Limpa e Sustentável? ",Acha que as políticas públicas atuais dão a importância ideal ao o crescimento e popularidade dos diversos tipos de Energias Limpas. ,"Indique o grau de importância da seguinte afirmação: O avanço das tecnologias sobre Energia Limpas e sustentáveis podem contribuir para Desenvolvimento, Saúde e Bem-estar de uma população. ","Com base nos dados da última década que aponta “desaceleração recente do ritmo mundial de eletrificação”, acha importante a ONU listar o tema Energias renováveis e sustentáveis como um dos objetivos de Desenvolvimento e traçar metas? ","Estudos contabilizam que mais de 650 Milhões de pessoas não tem acesso a Energia, acha importante cada vez mais se investir em Energias renováveis para que se torne acessível para todos principalmente para os mais necessitados.","A energia renovável é uma solução eficaz para a redução das emissões de gases de efeito estufa e, portanto, deve ser priorizada como fonte de energia em todo o mundo.","A energia renovável pode contribuir para a redução da pobreza e o desenvolvimento económico, tornando-se uma prioridade para comunidades desfavorecidas","As fontes de energia renovável, como a energia solar e eólica, têm o potencial de criar empregos significativos em todo o mundo.",A educação pública sobre os benefícios da energia limpa e acessível é fundamental para acelerar sua adoção em todo o mundo.
11/21/2023 23:54:32,0,46,2. Maculino,2. Ensino Secundário,3. América do Sul,1. Não tenho conhecimento,4. Importante,4. Importante,Muito Provável,Muito Provável,1. Sim (passa para a questão 12),1. Sim,1. Custos Iniciais Elevados,3. de 2.500€ a 4.999€,Provável,Muito Provável,Provável,Concordo,1. Sem conhecimento,2. Não,3. Razoavelmente importante,Concordo,2. 50 a 99€,4. 76 a 100%,2. Não,2. Não,4. Muito provável,2. Pouco provável,2. Não,2. Não,2. Com frequência,4. Nunca,2. Não,5. Nunca,4. Importante,2. Não,4. Importante,4. Importante,4. Importante,Concordo,Não discordo nem concordo,Não discordo nem concordo,Não discordo nem concordo
11/22/2023 0:05:00,0,29,2. Maculino,5. Mestrado,3. América do Sul,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Extremamente Provável,Muito Provável,2. Não (passa para a questão 11),1. Sim,1. Custos Iniciais Elevados,2. de 1.000€ a 2.499€,Provável,Provável,Provável,Concordo totalmente,2. Pouco conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,1. Sim,4. Muito provável,3. Provável,1. Sim,1. Sim,3. Às vezes,3. Raramente,1. Sim,2. Com frequência,5. Muito Importante.,2. Não,4. Importante,4. Importante,4. Importante,Concordo,Concordo totalmente,Concordo,Concordo totalmente
11/22/2023 10:47:32,0,30,2. Maculino,5. Mestrado,3. América do Sul,1. Não tenho conhecimento,5. Muito Importante,5. Muito Importante,Extremamente Provável,Extremamente Provável,2. Não (passa para a questão 11),1. Sim,1. Custos Iniciais Elevados,5. 10.000€ ou mais,Extremamente Provável,Extremamente Provável,Extremamente Provável,Concordo,1. Sem conhecimento,1. Sim,5. Muito Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,1. Sim,5. Extremamente provável,5. Extremamente provável,1. Sim,1. Sim,4. Raramente,1. Regularmente,1. Sim,2. Com frequência,5. Muito Importante.,2. Não,4. Importante,4. Importante,4. Importante,Concordo,Concordo,Concordo,Concordo
11/22/2023 10:50:10,0,37,2. Maculino,4. Licenciatura,3. América do Sul,4. Tenho muito conhecimento,5. Muito Importante,5. Muito Importante,Extremamente Provável,Extremamente Provável,2. Não (passa para a questão 11),3. Não,1. Custos Iniciais Elevados,1 . Até 999€,Extremamente Improvável,Extremamente Improvável,Extremamente Improvável,Concordo totalmente,4. Muito conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,4. 150 a 199€,4. 76 a 100%,1. Sim,1. Sim,1. Extremamente improvável,1. Extremamente improvável,1. Sim,1. Sim,5. Nunca,4. Nunca,1. Sim,5. Nunca,5. Muito Importante.,1. Sim,4. Importante,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
11/22/2023 10:53:19,0,25,2. Maculino,2. Ensino Secundário,3. América do Sul,4. Tenho muito conhecimento,5. Muito Importante,5. Muito Importante,Extremamente Provável,Extremamente Provável,2. Não (passa para a questão 11),3. Não,5. Incerteza Política,5. 10.000€ ou mais,Extremamente Provável,Extremamente Provável,Extremamente Provável,Concordo totalmente,4. Muito conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,5. + 200€,4. 76 a 100%,2. Não,2. Não,5. Extremamente provável,5. Extremamente provável,1. Sim,1. Sim,1. Sempre,1. Regularmente,1. Sim,1. Sempre,1. Sem importância,1. Sim,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
11/22/2023 10:55:31,0,49,2. Maculino,6. Doutorado,3. América do Sul,3. Tenho um conhecimento razoável,4. Importante,4. Importante,Muito Provável,Muito Provável,1. Sim (passa para a questão 12),2. Talvez,"1. Custos Iniciais Elevados, 5. Incerteza Política",3. de 2.500€ a 4.999€,Provável,Provável,Provável,Concordo,3. Conhecimento razoável,1. Sim,4. Importante,Concordo,3. 100 a 149€,3. 51 s 75%,2. Não,1. Sim,3. Provável,3. Provável,1. Sim,1. Sim,1. Sempre,1. Regularmente,1. Sim,1. Sempre,1. Sem importância,1. Sim,1. Sem importância,1. Sem importância,5. Muito Importante.,Concordo,Concordo,Concordo,Concordo
11/22/2023 10:57:58,0,69,2. Maculino,6. Doutorado,3. América do Sul,4. Tenho muito conhecimento,5. Muito Importante,5. Muito Importante,Extremamente Provável,Extremamente Provável,1. Sim (passa para a questão 12),1. Sim,1. Custos Iniciais Elevados,4. de 5.000€ a 9.999€,Extremamente Provável,Extremamente Provável,Extremamente Provável,Concordo totalmente,4. Muito conhecimento,1. Sim,5. Muito Importante,Concordo Totalmente,5. + 200€,4. 76 a 100%,1. Sim,1. Sim,5. Extremamente provável,5. Extremamente provável,1. Sim,1. Sim,1. Sempre,1. Regularmente,1. Sim,1. Sempre,5. Muito Importante.,1. Sim,1. Sem importância,1. Sem importância,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
11/22/2023 11:00:48,0,18,3. Outro,1. Ensino Básico,3. América do Sul,1. Não tenho conhecimento,1. Sem importância,1. Sem importância,Extremamente Improvável,Extremamente Improvável,2. Não (passa para a questão 11),3. Não,"2. Falta de Conhecimento, 4.Preconceitos e Desinformação",1 . Até 999€,Extremamente Improvável,Extremamente Improvável,Extremamente Improvável,Discordo totalmente,1. Sem conhecimento,2. Não,1. Sem importância,Discordo Totalmente,1. até 49€,1. até 25%,2. Não,2. Não,1. Extremamente improvável,1. Extremamente improvável,2. Não,2. Não,5. Nunca,4. Nunca,2. Não,5. Nunca,5. Muito Importante.,2. Não,1. Sem importância,1. Sem importância,1. Sem importância,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente
11/22/2023 11:03:30,0,52,2. Maculino,6. Doutorado,3. América do Sul,3. Tenho um conhecimento razoável,4. Importante,4. Importante,Muito Provável,Muito Provável,1. Sim (passa para a questão 12),1. Sim,1. Custos Iniciais Elevados,3. de 2.500€ a 4.999€,Provável,Provável,Provável,Discordo,2. Pouco conhecimento,1. Sim,3. Razoavelmente importante,Não discordo nem concordo,3. 100 a 149€,3. 51 s 75%,1. Sim,1. Sim,3. Provável,3. Provável,1. Sim,2. Não,3. Às vezes,2. De vez em quando,1. Sim,1. Sempre,4. Importante,2. Não,4. Importante,4. Importante,4. Importante,Concordo,Concordo,Concordo,Concordo
11/22/2023 11:07:52,0,12,2. Maculino,1. Ensino Básico,3. América do Sul,1. Não tenho conhecimento,4. Importante,4. Importante,Provável,Provável,1. Sim (passa para a questão 12),2. Talvez,3. Restrições Regulatórias e Burocracia,1 . Até 999€,Provável,Extremamente Provável,Muito Provável,Concordo,1. Sem conhecimento,2. Não,2. Pouco importante,Concordo,1. até 49€,1. até 25%,1. Sim,1. Sim,3. Provável,3. Provável,2. Não,1. Sim,2. Com frequência,2. De vez em quando,1. Sim,1. Sempre,5. Muito Importante.,1. Sim,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo,Concordo,Concordo,Concordo
11/22/2023 15:24:55,0,35,2. Maculino,2. Ensino Secundário,6. Europa,2. Tenho pouco conhecimento,3. Razoavelmente importante,4. Importante,Muito Provável,Pouco Provável,2. Não (passa para a questão 11),2. Talvez,"1. Custos Iniciais Elevados, 2. Falta de Conhecimento, 3. Restrições Regulatórias e Burocracia, 4.Preconceitos e Desinformação, 5. Incerteza Política",3. de 2.500€ a 4.999€,Provável,Muito Provável,Muito Provável,Concordo totalmente,2. Pouco conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,4. 150 a 199€,3. 51 s 75%,1. Sim,2. Não,3. Provável,3. Provável,1. Sim,1. Sim,3. Às vezes,2. De vez em quando,2. Não,4. Raramente,4. Importante,2. Não,4. Importante,3. Razoavelmente importante,4. Importante,Concordo,Concordo,Concordo,Concordo
11/22/2023 18:48:48,0,31,2. Maculino,4. Licenciatura,1. África,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Provável,Muito Provável,2. Não (passa para a questão 11),2. Talvez,4.Preconceitos e Desinformação,5. 10.000€ ou mais,Provável,Provável,Provável,Concordo totalmente,1. Sem conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,1. até 49€,1. até 25%,2. Não,2. Não,4. Muito provável,3. Provável,2. Não,1. Sim,3. Às vezes,4. Nunca,2. Não,5. Nunca,5. Muito Importante.,2. Não,5. Muito Importante.,4. Importante,5. Muito Importante.,Concordo,Não discordo nem concordo,Não discordo nem concordo,Concordo
11/22/2023 18:51:30,0,33,2. Maculino,2. Ensino Secundário,1. África,2. Tenho pouco conhecimento,3. Razoavelmente importante,4. Importante,Provável,Muito Provável,2. Não (passa para a questão 11),2. Talvez,2. Falta de Conhecimento,1 . Até 999€,Provável,Pouco Provável,Provável,Não discordo nem concordo,2. Pouco conhecimento,2. Não,5. Muito Importante,Concordo,1. até 49€,1. até 25%,1. Sim,2. Não,3. Provável,3. Provável,2. Não,1. Sim,3. Às vezes,4. Nunca,2. Não,4. Raramente,5. Muito Importante.,2. Não,4. Importante,4. Importante,4. Importante,Concordo totalmente,Não discordo nem concordo,Não discordo nem concordo,Concordo totalmente
11/22/2023 19:10:43,0,25,1. Feminino,4. Licenciatura,1. África,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Pouco Provável,Muito Provável,2. Não (passa para a questão 11),1. Sim,"3. Restrições Regulatórias e Burocracia, 5. Incerteza Política",1 . Até 999€,Provável,Provável,Provável,Discordo,1. Sem conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,1. até 49€,1. até 25%,1. Sim,2. Não,4. Muito provável,4. Muito provável,1. Sim,1. Sim,2. Com frequência,4. Nunca,1. Sim,4. Raramente,5. Muito Importante.,2. Não,4. Importante,5. Muito Importante.,5. Muito Importante.,Concordo,Não discordo nem concordo,Não discordo nem concordo,Concordo totalmente
11/22/2023 19:18:15,0,26,2. Maculino,4. Licenciatura,1. África,1. Não tenho conhecimento,3. Razoavelmente importante,4. Importante,Pouco Provável,Pouco Provável,2. Não (passa para a questão 11),2. Talvez,2. Falta de Conhecimento,1 . Até 999€,Pouco Provável,Pouco Provável,Provável,Concordo,1. Sem conhecimento,2. Não,4. Importante,Não discordo nem concordo,1. até 49€,1. até 25%,2. Não,2. Não,2. Pouco provável,3. Provável,2. Não,1. Sim,4. Raramente,4. Nunca,2. Não,4. Raramente,4. Importante,2. Não,4. Importante,3. Razoavelmente importante,3. Razoavelmente importante,Não discordo nem concordo,Não discordo nem concordo,Não discordo nem concordo,Não discordo nem concordo
11/23/2023 11:46:49,0,44,1. Feminino,5. Mestrado,6. Europa,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Provável,Extremamente Provável,2. Não (passa para a questão 11),3. Não,"1. Custos Iniciais Elevados, 3. Restrições Regulatórias e Burocracia",1 . Até 999€,Provável,Muito Provável,Provável,Concordo totalmente,1. Sem conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,2. Não,3. Provável,2. Pouco provável,2. Não,1. Sim,2. Com frequência,4. Nunca,1. Sim,1. Sempre,5. Muito Importante.,2. Não,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Não discordo nem concordo,Não discordo nem concordo,Concordo totalmente
11/23/2023 17:13:43,0,50,2. Maculino,4. Licenciatura,6. Europa,3. Tenho um conhecimento razoável,4. Importante,4. Importante,Muito Provável,Provável,2. Não (passa para a questão 11),2. Talvez,"1. Custos Iniciais Elevados, 3. Restrições Regulatórias e Burocracia",2. de 1.000€ a 2.499€,Pouco Provável,Provável,Provável,Concordo totalmente,3. Conhecimento razoável,2. Não,4. Importante,Concordo Totalmente,2. 50 a 99€,3. 51 s 75%,1. Sim,2. Não,2. Pouco provável,2. Pouco provável,2. Não,1. Sim,2. Com frequência,3. Raramente,1. Sim,4. Raramente,4. Importante,1. Sim,3. Razoavelmente importante,3. Razoavelmente importante,3. Razoavelmente importante,Não discordo nem concordo,Não discordo nem concordo,Não discordo nem concordo,Não discordo nem concordo
